0x0e50 0x0df3 0x0ec0 0x0fa7 0x0fa9 0x0fa9 0x0fa8 0x0fa8 0x0fa6 0x0fa6 0x0fa6 0x0fa5 0x0fa2 0x0fa2 0x0fa3 0x0fa2
0x0fa1 0x0fa1 0x0fa0 0x0fa0 0x0f9e 0x0f9d 0x0f9d 0x0f9c 0x0f9a 0x0f9a 0x0f98 0x0f99 0x0f99 0x0f98 0x0f96 0x0f94
0x0f94 0x0f93 0x0f94 0x0f93 0x0f92 0x0f92 0x0f91 0x0f91 0x0f91 0x0f90 0x0f91 0x0f8f 0x0f90 0x0f90 0x0f90 0x0f90
0x0f8e 0x0f8d 0x0f8d 0x0f8d 0x0f8d 0x0f8d 0x0f8d 0x0f8c 0x0f8d 0x0f8c 0x0f8c 0x0f8c 0x0f8d 0x0f8a 0x0f8c 0x0f8c
0x0f8b 0x0f8c 0x0f8b 0x0f8b 0x0f8b 0x0f8b 0x0f8b 0x0f8b 0x0f8c 0x0f8a 0x0f8b 0x0f8b 0x0f8b 0x0f8b 0x0f8b 0x0f8b
0x0f8b 0x0f8c 0x0f8c 0x0f8d 0x0f8c 0x0f8c 0x0f8d 0x0f8d 0x0f8c 0x0f8c 0x0f8d 0x0f8d 0x0f8d 0x0f8d 0x0f8e 0x0f90
0x0f90 0x0f8f 0x0f91 0x0f91 0x0f92 0x0f94 0x0f95 0x0f95 0x0f96 0x0f98 0x0f96 0x0f98 0x0f99 0x0f9a 0x0f9b 0x0f9c
0x0f9d 0x0f9d 0x0f9e 0x0fa0 0x0fa1 0x0fa2 0x0fa4 0x0fa5 0x0fa4 0x0fa8 0x0fa9 0x0fab 0x0fac 0x0fad 0x0fb0 0x0fb1
0x0fb2 0x0fb3 0x0fb5 0x0fb5 0x0fb9 0x0fb8 0x0fb9 0x0fbb 0x0fbb 0x0fbc 0x0fbd 0x0fbe 0x0fbe 0x0fc0 0x0fc1 0x0fc2
0x0fc3 0x0fc3 0x0fc3 0x0fc4 0x0fc4 0x0fc5 0x0fc5 0x0fc5 0x0fc4 0x0fc6 0x0fc5 0x0fc6 0x0fc6 0x0fc6 0x0fc6 0x0fc6
0x0fc6 0x0fc6 0x0fc6 0x0fc6 0x0fc6 0x0fc6 0x0fc7 0x0fc8 0x0fc7 0x0fc8 0x0fc6 0x0fc6 0x0fc7 0x0fc7 0x0fc6 0x0fc8
0x0fc8 0x0fc8 0x0fc7 0x0fc8 0x0fc6 0x0fc6 0x0fc6 0x0fc6 0x0fc5 0x0fc5 0x0fc6 0x0fc6 0x0fc6 0x0fc5 0x0fc5 0x0fc5
0x0fc5 0x0fc5 0x0fc3 0x0fc4 0x0fc4 0x0fc4 0x0fc5 0x0fc4 0x0fc5 0x0fc3 0x0fc4 0x0fc3 0x0fc3 0x0fc2 0x0fc2 0x0fc2
0x0fc2 0x0fc2 0x0fc1 0x0fc1 0x0fc0 0x0fc0 0x0fbf 0x0fc0 0x0fc0 0x0fbe 0x0fbd 0x0fbd 0x0fbd 0x0fbc 0x0fbd 0x0fbd
0x0fbd 0x0fbc 0x0fbd 0x0fbd 0x0fbb 0x0fb9 0x0fbb 0x0fbb 0x0fbb 0x0fbb 0x0fba 0x0fba 0x0fba 0x0fb9 0x0fb9 0x0fb9
0x0fb6 0x0fb6 0x0fb4 0x0fb6 0x0fb6 0x0fb5 0x0fb5 0x0fb5 0x0fb4 0x0fb3 0x0fb3 0x0fb2 0x0fb3 0x0fb0 0x0fb1 0x0fb1
0x0fb1 0x0fb1 0x0fb0 0x0fb0 0x0fae 0x0faf 0x0fb0 0x0fae 0x0fae 0x0fad 0x0faf 0x0faf 0x0fae 0x0fae 0x0fae 0x0fae
0x0fae 0x0fad 0x0faf 0x0fb0 0x0faf 0x0fae 0x0fb0 0x0fb0 0x0fb1 0x0fae 0x0faf 0x0faf 0x0fb0 0x0faf 0x0fb0 0x0fb0
0x0fb0 0x0fb2 0x0fb1 0x0fb2 0x0fb2 0x0fb2 0x0fb3 0x0fb3 0x0fb3 0x0fb3 0x0fb3 0x0fb3 0x0fb4 0x0fb3 0x0fb5 0x0fb5
0x0fb6 0x0fb5 0x0fb6 0x0fb6 0x0fb8 0x0fb8 0x0fb9 0x0fb9 0x0fba 0x0fb9 0x0fb9 0x0fbb 0x0fbb 0x0fbc 0x0fbd 0x0fbc
0x0fbd 0x0fbd 0x0fbe 0x0fbe 0x0fbe 0x0fbe 0x0fbf 0x0fc0 0x0fc0 0x0fc1 0x0fc1 0x0fc2 0x0fc1 0x0fc2 0x0fc2 0x0fc2
0x0fc1 0x0fc1 0x0fc2 0x0fc3 0x0fc3 0x0fc2 0x0fc2 0x0fc2 0x0fc2 0x0fc2 0x0fc3 0x0fc3 0x0fc2 0x0fc0 0x0fc2 0x0fc2
0x0fc1 0x0fc0 0x0fc1 0x0fbf 0x0f06 0x0f0d 0x0f11 0x0f12 0x0f13 0x0f13 0x0f14 0x0f16 0x0f18 0x0f1c 0x0f1e 0x0f22
0x0f28 0x0f36 0x0f43 0x0f4f 0x0f40 0x0f2c 0x0f2a 0x0f27 0x0f28 0x0f25 0x0f29 0x0f2d 0x0f31 0x0f40 0x0f3d 0x0f3a
0x0f33 0x0f2e 0x0f33 0x0f32 0x0f35 0x0f39 0x0f33 0x0f2e 0x0f2d 0x0f33 0x0f3a 0x0f41 0x0f62 0x0f84 0x0f8c 0x0f8a
0x0f85 0x0f8b 0x0f8c 0x0f82 0x0f7b 0x0f85 0x0f92 0x0f94 0x0f8e 0x0f91 0x0f9a 0x0f99 0x0f9a 0x0f9a 0x0f96 0x0f8e
0x0f95 0x0f9a 0x0f94 0x0f93 0x0f95 0x0f98 0x0f98 0x0f96 0x0f96 0x0f95 0x0f95 0x0f95 0x0f93 0x0f93 0x0f93 0x0f92
0x0f93 0x0f92 0x0f91 0x0f90 0x0f8d 0x0f90 0x0f90 0x0f90 0x0f8e 0x0f8f 0x0f8e 0x0f8f 0x0f8d 0x0f8e 0x0f8d 0x0f8d
0x0f8c 0x0f8c 0x0f8d 0x0f8c 0x0f8d 0x0f8d 0x0f8c 0x0f8b 0x0f8c 0x0f8a 0x0f89 0x0f89 0x0f86 0x0f81 0x0f7b 0x0f79
0x0f78 0x0f7a 0x0f7f 0x0f85 0x0f88 0x0f8a 0x0f8a 0x0f8a 0x0f89 0x0f84 0x0f7c 0x0f72 0x0f5e 0x0f58 0x0f61 0x0f69
0x0f70 0x0f79 0x0f83 0x0f86 0x0f84 0x0f7c 0x0f81 0x0f7d 0x0f7b 0x0f79 0x0f78 0x0f72 0x0f71 0x0f76 0x0f78 0x0f76
0x0f77 0x0f7d 0x0f80 0x0f81 0x0f80 0x0f80 0x0f80 0x0f80 0x0f7e 0x0f7d 0x0f7d 0x0f80 0x0f7d 0x0f7d 0x0f7c 0x0f7c
0x0f75 0x0f7c 0x0f7b 0x0f7d 0x0f7c 0x0f7c 0x0f7b 0x0f7a 0x0f7b 0x0f7b 0x0f7b 0x0f7b 0x0f7c 0x0f7b 0x0f7a 0x0f7b
0x0f7a 0x0f7a 0x0f7b 0x0f7a 0x0f7a 0x0f7b 0x0f7b 0x0f7b 0x0f7a 0x0f79 0x0f79 0x0f79 0x0f78 0x0f79 0x0f79 0x0f79
0x0f79 0x0f78 0x0f78 0x0f79 0x0f79 0x0f79 0x0f79 0x0f79 0x0f78 0x0f79 0x0f77 0x0f76 0x0f78 0x0f78 0x0f78 0x0f76
0x0f77 0x0f76 0x0f77 0x0f77 0x0f76 0x0f76 0x0f75 0x0f75 0x0f75 0x0f75 0x0f75 0x0f75 0x0f74 0x0f74 0x0f75 0x0f75
0x0f75 0x0f74 0x0f73 0x0f73 0x0f73 0x0f73 0x0f72 0x0f74 0x0f73 0x0f73 0x0f73 0x0f73 0x0f72 0x0f72 0x0f71 0x0f72
0x0f72 0x0f72 0x0f72 0x0f72 0x0f73 0x0f72 0x0f72 0x0f71 0x0f71 0x0f70 0x0f71 0x0f71 0x0f71 0x0f71 0x0f71 0x0f70
0x0f70 0x0f70 0x0f71 0x0f71 0x0f70 0x0f6f 0x0f70 0x0f70 0x0f70 0x0f6f 0x0f6e 0x0f6f 0x0f6e 0x0f70 0x0f70 0x0f6f
0x0f6f 0x0f6d 0x0f6d 0x0f6f 0x0f6f 0x0f6f 0x0f70 0x0f6e 0x0f6d 0x0f6d 0x0f6e 0x0f6e 0x0f6f 0x0f6d 0x0f6c 0x0f6d
